user_input,classification_label,complexity,label_encoded,complexity_encoded
Analyze the hourly distribution of transactions at our top 10 ATMs by volume to identify patterns for cash replenishment.,data_analysis,medium,3,2
Generate a weekly compliance checklist report for all branches.,report_generation,low,9,1
Summarize this thread of emails between the legal team and a vendor regarding a contract dispute.,text_summarization,medium,14,2
How many of our customers are registered for SMS alerts but not for email alerts?,natural_language_query,medium,6,2
Document the process for a developer to request access to the UAT environment.,technical_documentation,low,12,1
Calculate the return on assets (ROA) for the bank based on the last annual report.,financial_analysis,medium,5,2
A customer is asking for their account statement for a period of 5 years. Draft a response explaining the process and any applicable charges for retrieving archived statements.,customer_support,medium,2,2
"Check if this customer, who is applying for a business loan, is on any internal or regulatory watchlists.",compliance_check,high,1,0
Translate 'Welcome to our new digital banking experience' into Telugu.,translation,low,15,1
"What is the sentiment of our customers regarding the recent increase in service charges, based on social media comments?",sentiment_analysis,high,10,0
Write a script for a call center agent to follow when a customer calls to report a lost debit card.,text_generation,medium,13,2
"From this property rental agreement, extract the landlord's name, tenant's name, monthly rent, and lease end date.",data_extraction,medium,4,2
Automate the process of sending a reminder SMS to customers three days before their loan EMI is due.,process_automation,low,8,1
Explain the tax benefits of a home loan under Section 24 and Section 80C of the Income Tax Act.,policy_explanation,high,7,0
Write a SQL query to find all customer accounts where the registered address city is 'Chennai' but the last transaction occurred from an ATM in 'Delhi'.,sql_query,high,11,0
"Generate a Python class for a 'CreditCard' that includes methods for making a payment, checking the balance, and calculating finance charges.",code_generation,medium,0,2
"Analyze the relationship between customer age and their preferred investment product (e.g., Mutual Funds, Fixed Deposits, Stocks).",data_analysis,high,3,0
Generate a report of all outward remittances that are pending clearance for more than 48 hours.,report_generation,medium,9,2
Summarize the new SEBI regulations on mutual fund expense ratios.,text_summarization,medium,14,2
Show me a list of all current job openings in the technology division.,natural_language_query,low,6,1
Create a tutorial document for our business clients on how to use the bulk upload feature on our corporate banking portal.,technical_documentation,medium,12,2
Analyze the impact of the recent repo rate cut by the RBI on our bank's net interest margin.,financial_analysis,high,5,0
A customer wants to update their nominee details. Draft a response guiding them on the required documents and procedures.,customer_support,low,2,1
Review this new insurance product brochure to ensure it doesn't make any misleading claims and adheres to IRDAI advertisement guidelines.,compliance_check,medium,1,2
Translate 'Loan approved' into Kannada and Malayalam.,translation,low,15,1
What is the prevailing sentiment in the news articles published about our bank this month?,sentiment_analysis,medium,10,2
"Generate a personalized email to a customer whose fixed deposit is about to mature, outlining their options for renewal or withdrawal.",text_generation,medium,13,2
Extract all the director names and their DINs from the attached Ministry of Corporate Affairs (MCA) filing PDF.,data_extraction,high,4,0
Create an automation that generates a ticket for the IT helpdesk whenever a user's corporate netbanking account is locked after multiple failed login attempts.,process_automation,medium,8,2
Explain our bank's 'Floating Rate' home loan product and how the EMI changes when the repo rate changes.,policy_explanation,medium,7,2
Write a SQL query to list the top 10 customers by the number of transactions in the last 30 days.,sql_query,medium,11,2
Write a Python script to scrape currency exchange rates from a financial website and store them in a database.,code_generation,medium,0,2
"Analyze the performance of our different digital marketing campaigns (Google Ads, Facebook Ads) in terms of customer acquisition cost.",data_analysis,medium,3,2
Generate a compliance certificate stating that the bank adheres to the PCI DSS standard for cardholder data security.,report_generation,high,9,0
Summarize the attached legal opinion on the enforceability of electronic signatures on loan agreements.,text_summarization,high,14,0
How many demat accounts were opened in the last month?,natural_language_query,low,6,1
Create a troubleshooting guide for common errors encountered by merchants using our point-of-sale (POS) terminals.,technical_documentation,medium,12,2
"Evaluate the creditworthiness of a startup applying for a working capital loan, based on their business plan and financial projections.",financial_analysis,high,5,0
A customer wants to set up an auto-debit for their mutual fund SIP. Draft a clear set of instructions for them to follow on our mobile app.,customer_support,medium,2,2
Check if our loan recovery agents are adhering to the RBI's Fair Practice Code in their communications with overdue customers.,compliance_check,high,1,0
Translate 'Insufficient balance' into Bengali and Punjabi.,translation,low,15,1
Analyze the sentiment of the last 100 call center conversations for the credit card department to identify agent training needs.,sentiment_analysis,high,10,0
Generate a series of social media posts for 'Financial Literacy Week'.,text_generation,medium,13,2
"From a folder of scanned invoices, extract the invoice number, date, and total amount for each invoice.",data_extraction,medium,4,2
Automate the daily reconciliation process between our core banking system and the Visa network transaction logs.,process_automation,high,8,0
Explain the 'cooling-off period' for newly added beneficiaries in netbanking.,policy_explanation,low,7,1
Write a SQL query to identify customers who hold both a savings account and a demat account but have not made any trades in the last six months.,sql_query,high,11,0
"Generate a secure, random 8-character password containing uppercase letters, lowercase letters, numbers, and special symbols.",code_generation,low,0,1
Analyze the drop-off rates at each stage of our online account opening process.,data_analysis,medium,3,2
Generate an ad-hoc report of all forex transactions conducted by NRI customers in the last 90 days.,report_generation,medium,9,2
Summarize the minutes of the last IT steering committee meeting.,text_summarization,medium,14,2
What's the current interest rate for a 5-year car loan?,natural_language_query,low,6,1
Create a document explaining our bank's internal coding standards for Python development.,technical_documentation,medium,12,2
Assess the financial health of a corporate borrower by analyzing their balance sheet and profit and loss statement.,financial_analysis,medium,5,2
A customer is reporting an unauthorized transaction. Guide them through the process of blocking their card and filing a chargeback.,customer_support,high,2,0
Review our website's accessibility to ensure it complies with WCAG 2.1 guidelines for people with disabilities.,compliance_check,medium,1,2
"Translate the key features of our mobile banking app for a marketing campaign in rural areas, using simple Hindi.",translation,medium,15,2
What is the overall sentiment score for our bank on social media platforms this quarter?,sentiment_analysis,medium,10,2
Write a press release about our bank launching a new set of eco-friendly 'Green Deposits'.,text_generation,high,13,0
"Extract all the financial figures (Revenue, Expenses, Profit) from the text of a quarterly earnings report.",data_extraction,high,4,0
Create an automation to escalate a customer complaint ticket if it has not been resolved within the defined SLA of 48 hours.,process_automation,medium,8,2
Explain the terms 'CIBIL score' and 'credit report' to a first-time borrower.,policy_explanation,medium,7,2
Write a SQL query to calculate the average time it takes for a customer to complete their first transaction after opening an account.,sql_query,high,11,0
Write a Python script to connect to an SFTP server and download all files with a '.csv' extension from a specific directory.,code_generation,medium,0,2
Analyze the effectiveness of the cross-sell recommendations made by our CRM system.,data_analysis,medium,3,2
"Generate a monthly dashboard report for the marketing team showing website traffic, lead generation, and conversion rates.",report_generation,medium,9,2
Summarize the contents of a zip file containing multiple text documents.,text_summarization,low,14,1
How many branches do we have in the state of Tamil Nadu?,natural_language_query,low,6,1
"Create a guide on how to integrate with our new payments API, including authentication and code samples.",technical_documentation,high,12,0
Calculate the liquidity coverage ratio (LCR) for the bank as of today.,financial_analysis,high,5,0
A customer's loan EMI auto-debit has failed. Draft a polite SMS informing them of the failure and requesting them to make the payment manually to avoid late fees.,customer_support,medium,2,2
Ensure our cloud server configurations comply with the CIS security benchmarks.,compliance_check,high,1,0
Translate 'Your account has been credited' into Gujarati.,translation,low,15,1
Analyze the sentiment of a customer's email to determine if they are a churn risk.,sentiment_analysis,medium,10,2
Generate a welcome kit document for new wealth management clients.,text_generation,medium,13,2
Extract the policy number and maturity date from an insurance policy document.,data_extraction,medium,4,2
Automate the generation of Form 16A for our vendors and fixed deposit customers.,process_automation,medium,8,2
Explain what a 'Repo Rate' is and how it affects a customer's home loan EMI.,policy_explanation,high,7,0
Write a SQL query to list all accounts that have had more than 100 transactions in a single day.,sql_query,medium,11,2
Write a Python script to automate loan approval decisions,code_generation,medium,0,2
Summarize the quarterly financial performance report,text_summarization,medium,14,2
Analyze transaction data for potential fraud patterns,data_analysis,high,3,0
Generate a response for a customer asking about loan terms,customer_support,low,2,1
Build a financial model to forecast bond yields,financial_analysis,high,5,0
Debug a Python script for processing wire transfers,code_generation,medium,0,2
Explain the new anti-money laundering regulations clearly,policy_explanation,medium,7,2
Translate a loan contract into French for a client,translation,medium,15,2
Write API documentation for a new banking platform,technical_documentation,medium,12,2
Extract customer details from a scanned mortgage form,data_extraction,medium,4,2
Create a marketing email for a high-yield savings account,text_generation,low,13,1
Assess the credit risk of a corporate loan portfolio,financial_analysis,high,5,0
Write a SQL query to retrieve active customer accounts,sql_query,medium,11,2
Summarize feedback from a customer satisfaction survey,text_summarization,medium,14,2
Automate the creation of daily compliance reports,process_automation,high,8,0
Answer a customer query about credit card interest rates,customer_support,low,2,1
Analyze sentiment in online customer reviews,sentiment_analysis,medium,10,2
Write a SQL query to calculate monthly loan repayments,sql_query,medium,11,2
Create a user guide for a mobile banking app,technical_documentation,medium,12,2
Generate a cash flow projection for the next six months,financial_analysis,high,5,0
Check a vendor contract for regulatory compliance,compliance_check,high,1,0
Translate internal audit guidelines into Spanish,translation,medium,15,2
Write a Python script to categorize transactions by type,code_generation,medium,0,2
Summarize a 60-page regulatory compliance manual,text_summarization,high,14,0
Answer a query about mortgage eligibility requirements,customer_support,low,2,1
Generate a report on stock market trends for clients,report_generation,high,9,0
Debug a JavaScript function for a payment portal,code_generation,medium,0,2
Extract payment terms from a supplier agreement,data_extraction,medium,4,2
Write a chatbot script for handling account inquiries,text_generation,medium,13,2
Perform a statistical analysis of credit card defaults,data_analysis,high,3,0
Create a technical manual for a fraud detection tool,technical_documentation,high,12,0
Translate a financial statement into Japanese,translation,medium,15,2
Write a SQL query to identify inactive accounts,sql_query,medium,11,2
Summarize minutes from a financial planning meeting,text_summarization,medium,14,2
Generate a compliance checklist for internal audits,compliance_check,high,1,0
Answer a customer question about account fees,customer_support,low,2,1
Analyze spending patterns for premium account holders,data_analysis,medium,3,2
Write a script to automate customer email reminders,process_automation,medium,8,2
Create a report on annual financial performance,report_generation,high,9,0
Check a loan agreement for legal inconsistencies,compliance_check,high,1,0
Translate a customer notice into German,translation,medium,15,2
Write a SQL query to track high-value transactions,sql_query,medium,11,2
Summarize a whitepaper on blockchain in banking,text_summarization,high,14,0
Generate a response to a customer complaint about fees,customer_support,medium,2,2
Perform a risk assessment for a new investment fund,financial_analysis,high,5,0
Write documentation for a transaction monitoring system,technical_documentation,high,12,0
Extract account numbers from a batch of invoices,data_extraction,medium,4,2
Answer a query about loan repayment schedules,customer_support,low,2,1
Analyze sentiment in customer support chat logs,sentiment_analysis,medium,10,2
Generate a report on customer retention metrics,report_generation,high,9,0
Write a Python script to validate customer KYC data,code_generation,medium,0,2
Create a SQL query to summarize branch revenue,sql_query,medium,11,2
Explain recent changes to Basel III regulations,policy_explanation,medium,7,2
Answer a question about credit card reward points,customer_support,low,2,1
Analyze loan default rates across regions,data_analysis,high,3,0
Translate a compliance report into Portuguese,translation,medium,15,2
Write a script to automate monthly report generation,process_automation,medium,8,2
Generate a FAQ for online banking security features,text_generation,medium,13,2
Check a financial model for calculation errors,compliance_check,high,1,0
Extract payment schedules from a lease agreement,data_extraction,medium,4,2
Answer a question about wire transfer limits,customer_support,low,2,1
Summarize a compliance audit findings report,text_summarization,high,14,0
Write a Python function to calculate loan interest,code_generation,medium,0,2
Generate a customer support email for login issues,text_generation,low,13,1
Analyze sentiment in customer feedback emails,sentiment_analysis,medium,10,2
Write a SQL query to monitor account overdrafts,sql_query,medium,11,2
Create a technical guide for a payment processing API,technical_documentation,high,12,0
Translate a loan agreement into Korean,translation,medium,15,2
Write a script to automate transaction reconciliations,process_automation,medium,8,2
Generate a financial forecast for a regional branch,financial_analysis,high,5,0
Check a policy for anti-fraud compliance,compliance_check,high,1,0
Extract customer data from a signed contract,data_extraction,medium,4,2
Answer a query about ATM withdrawal fees,customer_support,low,2,1
Summarize a 40-page risk management policy,text_summarization,high,14,0
Write a SQL query to analyze savings account growth,sql_query,medium,11,2
Generate a customer guide for mobile app features,text_generation,medium,13,2
Analyze market sentiment for a new stock offering,sentiment_analysis,high,10,0
Translate a banking memo into Mandarin,translation,medium,15,2
Write a script to automate compliance notifications,process_automation,high,8,0
Create a summary of client feedback surveys,text_summarization,medium,14,2
Answer a query about loan application procedures,customer_support,low,2,1
Generate a risk assessment for a corporate bond,financial_analysis,high,5,0
Write documentation for a customer database system,technical_documentation,high,12,0
Extract terms from a personal loan contract,data_extraction,medium,4,2
Debug a Python script for payment validation,code_generation,medium,0,2
Summarize a regulatory update on data privacy,text_summarization,medium,14,2
Answer a question about credit card balance transfers,customer_support,low,2,1
Analyze transaction data for money laundering risks,data_analysis,high,3,0
Translate a financial summary into Arabic,translation,medium,15,2
Write a SQL query to track loan delinquency rates,sql_query,medium,11,2
Generate a report on branch operational efficiency,report_generation,high,9,0
Check a vendor agreement for legal compliance,compliance_check,high,1,0
Extract account details from a credit application,data_extraction,medium,4,2
Create a customer support response for a disputed charge,customer_support,low,2,1
Summarize a report on economic trends,text_summarization,high,14,0
Write a Python function to assess credit risk,code_generation,medium,0,2
Analyze sentiment in customer support tickets,sentiment_analysis,medium,10,2
Generate a technical manual for a teller system,technical_documentation,high,12,0
Translate a banking notice into Russian,translation,medium,15,2
Write a script to automate data imports,process_automation,medium,8,2
Generate a compliance summary for external auditors,report_generation,high,9,0
Answer a query about online banking security,customer_support,low,2,1
Analyze deposit trends for high-net-worth clients,data_analysis,high,3,0
Check a financial forecast for regulatory errors,compliance_check,high,1,0
Extract payment terms from a vendor contract,data_extraction,medium,4,2
Write a SQL query to summarize customer balances,sql_query,medium,11,2
Summarize a risk analysis for a new mortgage product,text_summarization,high,14,0
Generate a customer email for a new credit card offer,text_generation,low,13,1
Translate a compliance manual into Italian,translation,medium,15,2
Write a script to automate payment confirmations,process_automation,medium,8,2
Analyze sentiment in customer complaint letters,sentiment_analysis,medium,10,2
Create a report on loan portfolio performance,report_generation,high,9,0
Check a loan contract for Basel III compliance,compliance_check,high,1,0
Extract data from a mortgage application form,data_extraction,medium,4,2
Answer a query about account verification processes,customer_support,low,2,1
Summarize a compliance policy for employees,text_summarization,medium,14,2
Write a SQL query to analyze transaction frequencies,sql_query,medium,11,2
Generate a risk profile for a new client,financial_analysis,high,5,0
Translate a customer agreement into Portuguese,translation,medium,15,2
Write documentation for a fraud monitoring system,technical_documentation,high,12,0
Analyze credit card usage patterns,data_analysis,high,3,0
Create a customer support response for a payment error,customer_support,medium,2,2
Check a contract for GDPR compliance,compliance_check,high,1,0
Extract payment schedules from a commercial loan,data_extraction,medium,4,2
Answer a question about savings account benefits,customer_support,low,2,1
Summarize a report on global market trends,text_summarization,high,14,0
Write a Python function to validate loan applications,code_generation,medium,0,2
Analyze sentiment in customer support emails,sentiment_analysis,medium,10,2
Generate a technical guide for a banking database,technical_documentation,high,12,0
Translate a customer memo into Japanese,translation,medium,15,2
Write a script to automate customer account updates,process_automation,medium,8,2
Generate a report on customer acquisition costs,report_generation,high,9,0
Answer a query about credit card fraud protection,customer_support,low,2,1
Analyze loan repayment patterns by demographic,data_analysis,high,3,0
Check a financial model for regulatory violations,compliance_check,high,1,0
Extract terms from a business loan agreement,data_extraction,medium,4,2
Write a SQL query to identify frequent depositors,sql_query,medium,11,2
Summarize a risk management strategy document,text_summarization,high,14,0
Generate a customer guide for online payment systems,text_generation,medium,13,2
Analyze market sentiment for a corporate bond,sentiment_analysis,high,10,0
Translate a banking policy into Hindi,translation,medium,15,2
Write a script to automate fraud alerts,process_automation,high,8,0
Create a summary of customer feedback data,text_summarization,medium,14,2
Answer a query about credit card payment deadlines,customer_support,low,2,1
Generate a risk report for a new savings product,financial_analysis,high,5,0
Write documentation for a payment processing system,technical_documentation,high,12,0
Extract key clauses from a financial contract,data_extraction,medium,4,2
Debug a SQL query for retrieving loan data,sql_query,medium,11,2
Summarize a regulatory guideline on data security,text_summarization,medium,14,2
Answer a question about loan prepayment options,customer_support,low,2,1
Analyze transaction data for suspicious activities,data_analysis,high,3,0
Translate a financial report into Spanish,translation,medium,15,2
Write a script to automate transaction categorizations,process_automation,medium,8,2
Generate a report on branch financial metrics,report_generation,high,9,0
Check a policy for data privacy compliance,compliance_check,high,1,0
Extract account details from a lease document,data_extraction,medium,4,2
Create a customer support response for a login issue,customer_support,low,2,1
Summarize a financial forecast report,text_summarization,high,14,0
Write a Python function to validate customer data,code_generation,medium,0,2
Analyze sentiment in customer service calls,sentiment_analysis,medium,10,2
Generate a technical manual for a loan processing system,technical_documentation,high,12,0
Translate a banking notice into Korean,translation,medium,15,2
Write a SQL query to track credit card transactions,sql_query,medium,11,2
Generate a compliance report for a new policy,report_generation,high,9,0
Answer a query about account transfer limits,customer_support,low,2,1
Analyze deposit trends for corporate accounts,data_analysis,high,3,0
Check a financial statement for accuracy,compliance_check,high,1,0
Extract payment terms from a lease contract,data_extraction,medium,4,2
Write a script to automate transaction validations,process_automation,medium,8,2
Summarize a risk assessment for a new fund,text_summarization,high,14,0
Generate a customer email for a new banking service,text_generation,low,13,1
Translate a compliance notice into Mandarin,translation,medium,15,2
Write a SQL query to monitor transaction anomalies,sql_query,high,11,0
Analyze sentiment in customer feedback forms,sentiment_analysis,medium,10,2
Create a report on branch revenue performance,report_generation,high,9,0
Check a loan agreement for legal errors,compliance_check,high,1,0
Extract data from a customer onboarding form,data_extraction,medium,4,2
Answer a query about credit card interest rates,customer_support,low,2,1
Summarize a compliance training manual,text_summarization,medium,14,2
Write a Python function to calculate risk scores,code_generation,medium,0,2
Generate a risk profile for a retail banking client,financial_analysis,high,5,0
Translate a customer contract into Russian,translation,medium,15,2
Write documentation for a transaction validation system,technical_documentation,high,12,0
Analyze loan approval rates by branch,data_analysis,high,3,0
Create a customer support response for a fraud concern,customer_support,medium,2,2
Check a financial report for calculation errors,compliance_check,high,1,0
Extract terms from a commercial agreement,data_extraction,medium,4,2
Answer a question about savings account restrictions,customer_support,low,2,1
Summarize a report on financial regulations,text_summarization,high,14,0
Write a SQL query to track customer loan balances,sql_query,medium,11,2
Generate a customer guide for online banking setup,text_generation,medium,13,2
Analyze market sentiment for a new bond issue,sentiment_analysis,high,10,0
Translate a banking policy into Arabic,translation,medium,15,2
Write a script to automate compliance monitoring,process_automation,high,8,0
Create a summary of customer complaint data,text_summarization,medium,14,2
Answer a query about loan approval timelines,customer_support,low,2,1
Generate a risk report for a new loan program,financial_analysis,high,5,0
Write documentation for a transaction processing API,technical_documentation,high,12,0
Extract key terms from a loan contract,data_extraction,medium,4,2
Debug a SQL query for transaction analysis,sql_query,medium,11,2
Summarize a regulatory update on banking laws,text_summarization,medium,14,2
Answer a question about credit card fraud alerts,customer_support,low,2,1
Analyze transaction data for compliance risks,data_analysis,high,3,0
Translate a financial statement into Portuguese,translation,medium,15,2
